"StateCode","PolicyType","BlanketType","CoinsuranceForBlankets","DisplayValue","DataValue"
"CW","Commercial Property Policy","Building Only","90%","No","No"
"CW","Commercial Property Policy","Building Only","100%","No","No"
"CW","Commercial Property Policy","Building Only","90%","Yes","Yes"
"CW","Commercial Property Policy","Building Only","100%","Yes","Yes"
"CW","Commercial Property Policy","Personal Property Only","90%","No","No"
"CW","Commercial Property Policy","Personal Property Only","100%","No","No"
"CW","Commercial Property Policy","Personal Property Only","90%","Yes","Yes"
"CW","Commercial Property Policy","Personal Property Only","100%","Yes","Yes"
"CW","Commercial Property Policy","Personal Property Only","Daily Reporting","No","No"
"CW","Commercial Property Policy","Personal Property Only","Weekly Reporting","No","No"
"CW","Commercial Property Policy","Personal Property Only","Monthly Reporting","No","No"
"CW","Commercial Property Policy","Personal Property Only","Quarterly Reporting","No","No"
"CW","Commercial Property Policy","Personal Property Only","Policy Year Reporting","No","No"
"CW","Commercial Property Policy","Building & Personal Property Combined","90%","No","No"
"CW","Commercial Property Policy","Building & Personal Property Combined","100%","No","No"
"CW","Commercial Property Policy","Building & Personal Property Combined","90%","Yes","Yes"
"CW","Commercial Property Policy","Building & Personal Property Combined","100%","Yes","Yes"
"CW","Commercial Property Policy","Building & Personal Property Combined","None - Lumberyard Property","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","50%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","60%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","70%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","80%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","90%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","100%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","125%","No","No"
"CW","Commercial Property Policy","Business Income With Extra Expense","50%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","60%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","70%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","80%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","90%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","100%","Yes","Yes"
"CW","Commercial Property Policy","Business Income With Extra Expense","125%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","50%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","60%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","70%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","80%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","90%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","100%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","125%","No","No"
"CW","Commercial Property Policy","Business Income Without Extra Expense","50%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","60%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","70%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","80%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","90%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","100%","Yes","Yes"
"CW","Commercial Property Policy","Business Income Without Extra Expense","125%","Yes","Yes"
"CW","Commercial Property Policy","Builders Risk","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building Only","90%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building Only","100%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","90%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","100%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Daily Reporting","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Weekly Reporting","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Monthly Reporting","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Quarterly Reporting","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Personal Property Only","Policy Year Reporting","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building & Personal Property Combined","90%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building & Personal Property Combined","100%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building & Personal Property Combined","None - Lumberyard Property","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","50%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","60%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","70%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","80%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","90%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","100%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income With Extra Expense","125%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","50%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","60%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","70%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","80%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","90%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","100%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Business Income Without Extra Expense","125%","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Not Applicable","Not Applicable","Not Applicable"
